humidity,temperature,voltage,time,ip
43.21,25.75,23.70,2025-10-20 16:50:37.796639,17
43.21,25.75,23.73,2025-10-20 16:50:38.535195,17
43.21,25.75,23.71,2025-10-20 16:50:39.231515,17
43.21,25.75,23.70,2025-10-20 16:50:39.899569,17
43.21,25.75,23.73,2025-10-20 16:50:41.290586,17
43.21,25.75,23.71,2025-10-20 16:50:42.002217,17
43.21,25.75,23.73,2025-10-20 16:50:42.707930,17
43.21,25.75,23.71,2025-10-20 16:50:43.384394,17
43.12,25.75,23.71,2025-10-20 16:50:44.322030,17
43.12,25.75,23.73,2025-10-20 16:50:44.817077,17
43.12,25.75,23.71,2025-10-20 16:50:45.540348,17
43.12,25.75,23.68,2025-10-20 16:50:47.587714,17
43.12,25.75,23.70,2025-10-20 16:50:48.298147,17
43.12,25.75,23.71,2025-10-20 16:50:49.004129,17
43.12,25.75,23.70,2025-10-20 16:50:49.739962,17
43.12,25.75,23.73,2025-10-20 16:50:50.429570,17
43.12,25.75,23.71,2025-10-20 16:50:51.090353,17
43.12,25.75,23.74,2025-10-20 16:50:51.817669,17
43.12,25.75,23.71,2025-10-20 16:50:52.502932,17
43.12,25.75,23.68,2025-10-20 16:50:53.202652,17
43.12,25.75,23.73,2025-10-20 16:50:53.918122,17
43.12,25.75,23.70,2025-10-20 16:50:54.593490,17
43.12,25.75,23.71,2025-10-20 16:50:55.979596,17
43.12,25.75,23.73,2025-10-20 16:50:56.810698,17
43.12,25.75,23.67,2025-10-20 16:50:57.452861,17
43.12,25.75,23.73,2025-10-20 16:50:58.115179,17
43.02,25.75,23.73,2025-10-20 16:50:58.458484,17
43.02,25.75,23.71,2025-10-20 16:50:58.825239,17
43.02,25.75,23.74,2025-10-20 16:50:59.549739,17
43.02,25.75,23.70,2025-10-20 16:51:00.225239,17
43.02,25.75,23.73,2025-10-20 16:51:00.870880,17
43.02,25.75,23.71,2025-10-20 16:51:02.323456,17
43.02,25.75,23.73,2025-10-20 16:51:03.692392,17
43.02,25.75,23.70,2025-10-20 16:51:04.413434,17
43.02,25.75,23.71,2025-10-20 16:51:05.107119,17
43.02,25.75,23.70,2025-10-20 16:51:05.779794,17
43.02,25.75,23.71,2025-10-20 16:51:06.503748,17
43.02,25.75,23.73,2025-10-20 16:51:07.204634,17
43.02,25.75,23.76,2025-10-20 16:51:07.891076,17
43.02,25.75,23.71,2025-10-20 16:51:08.596185,17
43.02,25.75,23.67,2025-10-20 16:51:10.025275,17
43.02,25.75,23.70,2025-10-20 16:51:10.699846,17
43.02,25.75,23.71,2025-10-20 16:51:14.186820,17
43.02,25.75,23.73,2025-10-20 16:51:14.902186,17
43.02,25.75,23.68,2025-10-20 16:51:15.640890,17
43.02,25.75,23.73,2025-10-20 16:51:16.334867,17
43.02,25.75,23.70,2025-10-20 16:51:17.000175,17
43.02,25.75,23.73,2025-10-20 16:51:17.715206,17
43.02,25.75,23.70,2025-10-20 16:51:18.400392,17
43.02,25.75,23.73,2025-10-20 16:51:19.098233,17
43.02,25.75,23.70,2025-10-20 16:51:20.504195,17
43.02,25.75,23.71,2025-10-20 16:51:21.219640,17
43.02,25.75,23.74,2025-10-20 16:51:21.928415,17
43.02,25.75,23.70,2025-10-20 16:51:22.651215,17
43.02,25.75,23.71,2025-10-20 16:51:23.335375,17
43.02,25.75,23.73,2025-10-20 16:51:24.022821,17
43.02,25.75,23.70,2025-10-20 16:51:25.518595,17
43.02,25.75,23.67,2025-10-20 16:51:26.098500,17
43.02,25.75,23.73,2025-10-20 16:51:26.841626,17
43.02,25.75,23.70,2025-10-20 16:51:27.544182,17
43.02,25.75,23.71,2025-10-20 16:51:28.214405,17
43.02,25.75,23.73,2025-10-20 16:51:28.873388,17
43.02,25.75,23.70,2025-10-20 16:51:29.597272,17
43.02,25.75,23.73,2025-10-20 16:51:30.306270,17
43.02,25.75,23.68,2025-10-20 16:51:31.025067,17
43.02,25.75,23.71,2025-10-20 16:51:31.709149,17
43.02,25.75,23.73,2025-10-20 16:51:34.497128,17
43.02,25.75,23.71,2025-10-20 16:51:35.906778,17
43.02,25.75,23.68,2025-10-20 16:51:36.600571,17
43.02,25.75,23.70,2025-10-20 16:51:37.295994,17
43.02,25.75,23.73,2025-10-20 16:51:38.038166,17
42.91,25.75,23.73,2025-10-20 16:51:38.442404,17
42.91,25.8125,23.73,2025-10-20 16:51:38.556763,17
42.91,25.8125,23.71,2025-10-20 16:51:38.691910,17
42.91,25.8125,23.67,2025-10-20 16:51:39.407866,17
42.91,25.8125,23.74,2025-10-20 16:51:40.101234,17
42.91,25.8125,23.76,2025-10-20 16:51:40.835790,17
42.91,25.75,23.76,2025-10-20 16:51:41.451828,17
42.91,25.75,23.70,2025-10-20 16:51:41.499907,17
42.91,25.75,23.71,2025-10-20 16:51:42.207542,17
42.91,25.75,23.70,2025-10-20 16:51:42.903969,17
42.91,25.75,23.71,2025-10-20 16:51:44.272820,17
42.91,25.8125,23.71,2025-10-20 16:51:44.375737,17
